train_source,model,select,thr,acc,bal,prec,rec,f1,cv_acc,cv_bal,cv_f1
hydro_bmkg,rf10,acc,0.5600000000000002,0.7424242424242424,0.7067307692307692,0.7446808510638298,0.875,0.8045977011494253,0.6488888888888888,0.655952380952381,0.6255924170616114
hydro_bmkg,log,acc,0.7100000000000002,0.7121212121212122,0.6615384615384615,0.7058823529411765,0.9,0.7912087912087912,0.64,0.6404761904761904,0.6523605150214592
hydro_bmkg,xgb,acc,0.6400000000000001,0.7121212121212122,0.675,0.723404255319149,0.85,0.7816091954022989,0.6711111111111111,0.6803571428571429,0.6372549019607843
hydro_bmkg,xgb,bal,0.6500000000000001,0.696969696969697,0.6625,0.717391304347826,0.825,0.7674418604651163,0.6711111111111111,0.6821428571428572,0.6262626262626263
hydro_bmkg,et8,bal,0.6200000000000001,0.6818181818181818,0.6096153846153846,0.6666666666666666,0.95,0.7835051546391752,0.6488888888888888,0.6595238095238095,0.6030150753768844
hydro_bmkg,log,bal,0.7600000000000002,0.6818181818181818,0.6432692307692307,0.7021276595744681,0.825,0.7586206896551724,0.64,0.6458333333333333,0.6232558139534884
hydro_bmkg,gb,acc,0.5100000000000001,0.6818181818181818,0.6567307692307692,0.7209302325581395,0.775,0.7469879518072289,0.6711111111111111,0.6827380952380953,0.6224489795918368
hydro_bmkg,rf4,acc,0.6300000000000001,0.6818181818181818,0.6634615384615384,0.7317073170731707,0.75,0.7407407407407407,0.6711111111111111,0.6857142857142857,0.6021505376344086
hydro_bmkg,rf4,bal,0.6300000000000001,0.6818181818181818,0.6634615384615384,0.7317073170731707,0.75,0.7407407407407407,0.6711111111111111,0.6857142857142857,0.6021505376344086
hydro_bmkg,gb,bal,0.5400000000000001,0.6666666666666666,0.6442307692307692,0.7142857142857143,0.75,0.7317073170731707,0.6711111111111111,0.6869047619047619,0.5934065934065934
bmkg,rf6,bal,0.49000000000000005,0.6515151515151515,0.5644230769230769,0.639344262295082,0.975,0.7722772277227723,0.5733333333333334,0.5613095238095238,0.6496350364963503
hydro_bmkg,rf6,acc,0.6400000000000001,0.6515151515151515,0.6384615384615384,0.717948717948718,0.7,0.7088607594936709,0.68,0.6952380952380952,0.6086956521739131
hydro_bmkg,rf6,bal,0.6400000000000001,0.6515151515151515,0.6384615384615384,0.717948717948718,0.7,0.7088607594936709,0.68,0.6952380952380952,0.6086956521739131
hydro_bmkg,hgb,acc,0.5300000000000001,0.6363636363636364,0.5451923076923076,0.6290322580645161,0.975,0.7647058823529411,0.6711111111111111,0.6821428571428572,0.6262626262626263
hydro_bmkg,hgb,bal,0.5300000000000001,0.6363636363636364,0.5451923076923076,0.6290322580645161,0.975,0.7647058823529411,0.6711111111111111,0.6821428571428572,0.6262626262626263
hydro_bmkg,et8,acc,0.6100000000000001,0.6363636363636364,0.551923076923077,0.6333333333333333,0.95,0.76,0.6488888888888888,0.6571428571428571,0.6183574879227053
hydro_bmkg,rf10,bal,0.6000000000000002,0.6363636363636364,0.6394230769230769,0.7352941176470589,0.625,0.6756756756756757,0.6488888888888888,0.6636904761904762,0.572972972972973
hydro_bmkg,xgb,f1,0.5300000000000001,0.6212121212121212,0.5192307692307693,0.6153846153846154,1.0,0.7619047619047619,0.6577777777777778,0.644047619047619,0.7259786476868327
bmkg,rf4,acc,0.5000000000000001,0.6212121212121212,0.539423076923077,0.6271186440677966,0.925,0.7474747474747475,0.6222222222222222,0.611904761904762,0.6840148698884758
bmkg,rf4,bal,0.5000000000000001,0.6212121212121212,0.539423076923077,0.6271186440677966,0.925,0.7474747474747475,0.6222222222222222,0.611904761904762,0.6840148698884758
bmkg,rf4,f1,0.39000000000000007,0.6060606060606061,0.5,0.6060606060606061,1.0,0.7547169811320755,0.5644444444444444,0.5339285714285714,0.7083333333333334
bmkg,rf6,acc,0.43000000000000005,0.6060606060606061,0.5,0.6060606060606061,1.0,0.7547169811320755,0.5777777777777777,0.5571428571428572,0.6864686468646864
bmkg,rf6,f1,0.38000000000000006,0.6060606060606061,0.5,0.6060606060606061,1.0,0.7547169811320755,0.5688888888888889,0.5392857142857143,0.7087087087087087
bmkg,rf10,acc,0.43000000000000005,0.6060606060606061,0.5,0.6060606060606061,1.0,0.7547169811320755,0.56,0.5327380952380952,0.6953846153846154
bmkg,rf10,bal,0.43000000000000005,0.6060606060606061,0.5,0.6060606060606061,1.0,0.7547169811320755,0.56,0.5327380952380952,0.6953846153846154
bmkg,rf10,f1,0.36000000000000004,0.6060606060606061,0.5,0.6060606060606061,1.0,0.7547169811320755,0.5466666666666666,0.5148809523809524,0.7
bmkg,et8,f1,0.4100000000000001,0.6060606060606061,0.5,0.6060606060606061,1.0,0.7547169811320755,0.5822222222222222,0.5577380952380953,0.7025316455696202
bmkg,gb,acc,0.29000000000000004,0.6060606060606061,0.5,0.6060606060606061,1.0,0.7547169811320755,0.5422222222222223,0.5107142857142857,0.696165191740413
bmkg,gb,bal,0.29000000000000004,0.6060606060606061,0.5,0.6060606060606061,1.0,0.7547169811320755,0.5422222222222223,0.5107142857142857,0.696165191740413
bmkg,gb,f1,0.24000000000000005,0.6060606060606061,0.5,0.6060606060606061,1.0,0.7547169811320755,0.5377777777777778,0.5047619047619047,0.6976744186046512
bmkg,hgb,acc,0.05,0.6060606060606061,0.5,0.6060606060606061,1.0,0.7547169811320755,0.5333333333333333,0.5,0.6956521739130435
bmkg,hgb,f1,0.05,0.6060606060606061,0.5,0.6060606060606061,1.0,0.7547169811320755,0.5333333333333333,0.5,0.6956521739130435
bmkg,xgb,f1,0.27,0.6060606060606061,0.5,0.6060606060606061,1.0,0.7547169811320755,0.5555555555555556,0.5238095238095238,0.7058823529411765
bmkg,log,acc,0.17000000000000004,0.6060606060606061,0.5,0.6060606060606061,1.0,0.7547169811320755,0.5777777777777777,0.555952380952381,0.6905537459283387
bmkg,log,bal,0.17000000000000004,0.6060606060606061,0.5,0.6060606060606061,1.0,0.7547169811320755,0.5777777777777777,0.555952380952381,0.6905537459283387
bmkg,log,f1,0.060000000000000005,0.6060606060606061,0.5,0.6060606060606061,1.0,0.7547169811320755,0.5422222222222223,0.5095238095238095,0.6997084548104956
hydro_bmkg,rf4,f1,0.49000000000000005,0.6060606060606061,0.5,0.6060606060606061,1.0,0.7547169811320755,0.6177777777777778,0.6005952380952381,0.7054794520547946
hydro_bmkg,rf6,f1,0.4100000000000001,0.6060606060606061,0.5,0.6060606060606061,1.0,0.7547169811320755,0.5822222222222222,0.5583333333333333,0.7006369426751592
hydro_bmkg,rf10,f1,0.37000000000000005,0.6060606060606061,0.5,0.6060606060606061,1.0,0.7547169811320755,0.6,0.5785714285714285,0.7058823529411765
hydro_bmkg,et8,f1,0.33,0.6060606060606061,0.5,0.6060606060606061,1.0,0.7547169811320755,0.5466666666666666,0.5154761904761904,0.6982248520710059
hydro_bmkg,gb,f1,0.38000000000000006,0.6060606060606061,0.5,0.6060606060606061,1.0,0.7547169811320755,0.6444444444444445,0.6297619047619047,0.7183098591549296
hydro_bmkg,hgb,f1,0.43000000000000005,0.6060606060606061,0.5,0.6060606060606061,1.0,0.7547169811320755,0.6577777777777778,0.6482142857142856,0.7116104868913857
hydro_bmkg,log,f1,0.5200000000000001,0.6060606060606061,0.5,0.6060606060606061,1.0,0.7547169811320755,0.5733333333333334,0.5488095238095237,0.6962025316455697
bmkg,et8,acc,0.5200000000000001,0.6060606060606061,0.5269230769230769,0.6206896551724138,0.9,0.7346938775510204,0.6,0.5886904761904762,0.6691176470588235
bmkg,et8,bal,0.5200000000000001,0.6060606060606061,0.5269230769230769,0.6206896551724138,0.9,0.7346938775510204,0.6,0.5886904761904762,0.6691176470588235
bmkg,xgb,acc,0.43000000000000005,0.5909090909090909,0.5009615384615385,0.6065573770491803,0.925,0.7326732673267327,0.5733333333333334,0.5541666666666667,0.6778523489932886
bmkg,xgb,bal,0.43000000000000005,0.5909090909090909,0.5009615384615385,0.6065573770491803,0.925,0.7326732673267327,0.5733333333333334,0.5541666666666667,0.6778523489932886
bmkg,hgb,bal,0.5600000000000002,0.5454545454545454,0.48365384615384616,0.5961538461538461,0.775,0.6739130434782609,0.5244444444444445,0.5202380952380953,0.5668016194331984
